name,country,description,category,best_season,budget,activities,rating,image_url
Athens,Greece,"Ancient Acropolis",HISTORICAL,SPRING,MODERATE,"Parthenon, Plaka",4.5,https://images.unsplash.com/photo-1643229901816-df5a2e2dbd7e?w=800
Jerusalem,Israel,"Holy city for religions",HISTORICAL,SPRING,MODERATE,"Western Wall, Markets",4.6,https://images.unsplash.com/photo-1581559179623-b6b5d5aae2c6?w=800
Marrakech,Morocco,"Red city with souks",CULTURAL,SPRING,MODERATE,"Medina, Tagine",4.5,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800
Hanoi,Vietnam,"French colonial charm",CULTURAL,FALL,CHEAP,"Old Quarter, Pho",4.5,https://images.unsplash.com/photo-1583417319070-4a69db7c5e8a?w=800
Oslo,Norway,"Fjord gateway",CULTURAL,SUMMER,LUXURY,"Viking Museum, Opera",4.4,https://images.unsplash.com/photo-1580502304784-8985b7eb7260?w=800
Stockholm,Sweden,"Archipelago beauty",CULTURAL,SUMMER,LUXURY,"Vasa, Gamla Stan",4.5,https://images.unsplash.com/photo-1517120026326-d87759a7b63b?w=800
Helsinki,Finland,"Design capital",CULTURAL,SUMMER,MODERATE,"Sauna, Architecture",4.3,https://images.unsplash.com/photo-1596638787647-904b822cee7f?w=800
Copenhagen,Denmark,"Hygge lifestyle",CULTURAL,SUMMER,LUXURY,"Tivoli, Nyhavn",4.5,https://images.unsplash.com/photo-1513622470522-26c3c8a854bc?w=800
Zurich,Switzerland,"Lake and mountains",CULTURAL,SUMMER,LUXURY,"Lindt, Old Town",4.4,https://images.unsplash.com/photo-1580502304784-8985b7eb7260?w=800
Budapest,Hungary,"Danube pearl",CULTURAL,SPRING,MODERATE,"Baths, Parliament",4.5,https://images.unsplash.com/photo-1551867633-194f125bdbfa?w=800
Warsaw,Poland,"Phoenix city",HISTORICAL,SUMMER,MODERATE,"Old Town, History",4.3,https://images.unsplash.com/photo-1592394533824-2c5d5f3936e9?w=800
Krakow,Poland,"Medieval square",HISTORICAL,SUMMER,CHEAP,"Auschwitz, Salt Mine",4.5,https://images.unsplash.com/photo-1592394533824-2c5d5f3936e9?w=800
Dublin,Ireland,"Literary pub culture",CULTURAL,SUMMER,MODERATE,"Guinness, Cliffs",4.4,https://images.unsplash.com/photo-1599669454699-248893623464?w=800
Reykjavik,Iceland,"Northern Lights base",ADVENTURE,WINTER,MODERATE,"Blue Lagoon, Aurora",4.6,https://images.unsplash.com/photo-1539650116574-75c0c6d73f6e?w=800
Brussels,Belgium,"EU capital and waffles",FOOD,SPRING,MODERATE,"Grand Place, Chocolate",4.3,https://images.unsplash.com/photo-1583417319070-4a69db7c5e8a?w=800
Madrid,Spain,"Art and tapas",CULTURAL,SPRING,MODERATE,"Prado, Retiro Park",4.5,https://images.unsplash.com/photo-1539037116277-4db20889f2d4?w=800
Seville,Spain,"Flamenco heartland",CULTURAL,SPRING,MODERATE,"Alcazar, Tapas",4.5,https://images.unsplash.com/photo-1583422409516-2895a77efded?w=800
Moscow,Russia,"Red Square grandeur",HISTORICAL,SUMMER,MODERATE,"Kremlin, Ballet",4.4,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800
St Petersburg,Russia,"Venice of the North",CULTURAL,SUMMER,MODERATE,"Hermitage, White Nights",4.5,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800
Beijing,China,"Forbidden City",HISTORICAL,FALL,MODERATE,"Great Wall, Hutongs",4.6,https://images.unsplash.com/photo-1508804185872-d7badad00f7d?w=800
Shanghai,China,"Futuristic skyline",CULTURAL,FALL,LUXURY,"Bund, Disney",4.5,https://images.unsplash.com/photo-1506973035872-a4ec16b8e8d9?w=800
Kyoto,Japan,"Traditional temples",CULTURAL,SPRING,MODERATE,"Geisha, Bamboo Forest",4.8,https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e?w=800
Osaka,Japan,"Street food capital",FOOD,SPRING,MODERATE,"Castle, Takoyaki",4.6,https://images.unsplash.com/photo-1540959733332-eab4deabeeaf?w=800
Hokkaido,Japan,"Powder snow paradise",ADVENTURE,WINTER,MODERATE,"Skiing, Ramen",4.7,https://images.unsplash.com/photo-1540959733332-eab4deabeeaf?w=800
Seville,Spain,"Orange tree courtyards",CULTURAL,SPRING,MODERATE,"Alcazar, Flamenco",4.5,https://images.unsplash.com/photo-1583422409516-2895a77efded?w=800
San Francisco,USA,"Golden Gate city",CULTURAL,SUMMER,LUXURY,"Bridge, Alcatraz",4.6,https://images.unsplash.com/photo-1501594907352-04cda38ebc29?w=800
Los Angeles,USA,"Hollywood glamour",CULTURAL,ALL,LUXURY,"Beaches, Studios",4.5,https://images.unsplash.com/photo-1515898913320-f38370c7c2a5?w=800
Las Vegas,USA,"Entertainment capital",CULTURAL,SPRING,LUXURY,"Casinos, Shows",4.3,https://images.unsplash.com/photo-1485738422979-f5c462d49f74?w=800
Miami,USA,"Art Deco beaches",BEACH,WINTER,MODERATE,"South Beach, Cuban",4.4,https://images.unsplash.com/photo-1514214246283-d427a95c5d2f?w=800
Chicago,USA,"Architectural wonder",CULTURAL,SUMMER,MODERATE,"Deep Dish, Lake",4.4,https://images.unsplash.com/photo-1513642622846-3435c5ec0d5e?w=800
Washington DC,USA,"Monumental capital",HISTORICAL,SPRING,MODERATE,"Museums, Politics",4.3,https://images.unsplash.com/photo-1501594907352-04cda38ebc29?w=800
Boston,USA,"Historic college town",HISTORICAL,FALL,MODERATE,"Freedom Trail, Harvard",4.3,https://images.unsplash.com/photo-1501594907352-04cda38ebc29?w=800
Seattle,USA,"Coffee and tech hub",CULTURAL,SUMMER,MODERATE,"Space Needle, Pike",4.3,https://images.unsplash.com/photo-1501594907352-04cda38ebc29?w=800
New Orleans,USA,"Jazz and Creole",CULTURAL,SPRING,MODERATE,"French Quarter, Jazz",4.4,https://images.unsplash.com/photo-1514214246283-d427a95c5d2f?w=800
Montreal,Canada,"European flair",CULTURAL,SUMMER,MODERATE,"Old Port, Poutine",4.4,https://images.unsplash.com/photo-1517935706615-2717063c2225?w=800
Vancouver,Canada,"Mountains meet ocean",CULTURAL,SUMMER,MODERATE,"Stanley Park, Sushi",4.5,https://images.unsplash.com/photo-1517935706615-2717063c2225?w=800
Banff,Canada,"Rocky Mountain jewel",MOUNTAIN,SUMMER,MODERATE,"Lake Louise, Hiking",4.7,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
Quebec City,Canada,"French charm",HISTORICAL,SUMMER,MODERATE,"Chateau, Old Town",4.5,https://images.unsplash.com/photo-1517935706615-2717063c2225?w=800
Mexico City,Mexico,"Aztec heritage",HISTORICAL,SPRING,MODERATE,"Zocalo, Museums",4.4,https://images.unsplash.com/photo-1518638150340-f706e86654de?w=800
Cancun,Mexico,"Caribbean beaches",BEACH,WINTER,MODERATE,"Resorts, Ruins",4.5,https://images.unsplash.com/photo-1518638150340-f706e86654de?w=800
Buenos Aires,Argentina,"Paris of South America",CULTURAL,SPRING,MODERATE,"Tango, Steak",4.5,https://images.unsplash.com/photo-1583422409516-2895a77efded?w=800
Rio de Janeiro,Brazil,"Carnival capital",CULTURAL,SUMMER,MODERATE,"Christ Statue, Beaches",4.6,https://images.unsplash.com/photo-1483729558449-99ef09a8c325?w=800
Machu Picchu,Peru,"Inca citadel",HISTORICAL,SPRING,MODERATE,"Hiking, Ruins",4.8,https://images.unsplash.com/photo-1583381094852-b05e7868560c?w=800
Santiago,Chile,"Andean backdrop",CULTURAL,SPRING,MODERATE,"Wine, Mountains",4.3,https://images.unsplash.com/photo-1583381094852-b05e7868560c?w=800
Bogota,Colombia,"Andean capital",CULTURAL,SPRING,MODERATE,"Gold Museum, Coffee",4.2,https://images.unsplash.com/photo-1583381094852-b05e7868560c?w=800
Cartagena,Colombia,"Caribbean walled city",HISTORICAL,WINTER,MODERATE,"Old Town, Beaches",4.5,https://images.unsplash.com/photo-1583381094852-b05e7868560c?w=800
Lima,Peru,"Gastronomic capital",FOOD,SPRING,MODERATE,"Ceviche, History",4.3,https://images.unsplash.com/photo-1583381094852-b05e7868560c?w=800
Cusco,Peru,"Inca heartland",HISTORICAL,SPRING,MODERATE,"Sacred Valley, Ruins",4.6,https://images.unsplash.com/photo-1583381094852-b05e7868560c?w=800
Quito,Ecuador,"High altitude capital",HISTORICAL,SPRING,MODERATE,"Old Town, Equator",4.3,https://images.unsplash.com/photo-1583381094852-b05e7868560c?w=800
Galapagos,Ecuador,"Evolution islands",WILDLIFE,SUMMER,LUXURY,"Wildlife, Diving",4.8,https://images.unsplash.com/photo-1583381094852-b05e7868560c?w=800
Cairo,Egypt,"Pyramids capital",HISTORICAL,WINTER,MODERATE,"Giza, Museum",4.5,https://images.unsplash.com/photo-1581559179623-b6b5d5aae2c6?w=800
Marrakech,Morocco,"Red city",CULTURAL,SPRING,MODERATE,"Souks, Riads",4.5,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800
Cape Town,South Africa,"Table Mountain",CULTURAL,SUMMER,MODERATE,"Wine, Penguins",4.7,https://images.unsplash.com/photo-1515634928627-2a4e0dae3ddf?w=800
Johannesburg,South Africa,"Gold rush city",CULTURAL,SPRING,MODERATE,"Soweto, History",4.2,https://images.unsplash.com/photo-1515634928627-2a4e0dae3ddf?w=800
Victoria Falls,Zambia,"Smoke that thunders",ADVENTURE,SUMMER,MODERATE,"Waterfalls, Safari",4.6,https://images.unsplash.com/photo-1515634928627-2a4e0dae3ddf?w=800
Zanzibar,Tanzania,"Spice island",BEACH,SUMMER,MODERATE,"Stone Town, Beaches",4.6,https://images.unsplash.com/photo-1515634928627-2a4e0dae3ddf?w=800
Nairobi,Kenya,"Safari gateway",WILDLIFE,SUMMER,MODERATE,"Elephant Orphanage",4.3,https://images.unsplash.com/photo-1515634928627-2a4e0dae3ddf?w=800
Mombasa,Kenya,"Indian Ocean port",BEACH,WINTER,MODERATE,"Beaches, History",4.2,https://images.unsplash.com/photo-1515634928627-2a4e0dae3ddf?w=800
Casablanca,Morocco,"Art Deco port",CULTURAL,SPRING,MODERATE,"Hassan II Mosque",4.1,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800
Tunis,Tunisia,"Mediterranean capital",HISTORICAL,SPRING,MODERATE,"Medina, Ruins",4.1,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800
Luxor,Egypt,"Open-air museum",HISTORICAL,WINTER,MODERATE,"Valley of Kings",4.6,https://images.unsplash.com/photo-1581559179623-b6b5d5aae2c6?w=800
Aswan,Egypt,"Nile beauty",HISTORICAL,WINTER,MODERATE,"Philae, Felucca",4.4,https://images.unsplash.com/photo-1581559179623-b6b5d5aae2c6?w=800
Petra,Jordan,"Rose-red city",HISTORICAL,SPRING,MODERATE,"Treasury, Hiking",4.7,https://images.unsplash.com/photo-1581559179623-b6b5d5aae2c6?w=800
Amman,Jordan,"Ancient capital",HISTORICAL,SPRING,MODERATE,"Citadel, Food",4.2,https://images.unsplash.com/photo-1581559179623-b6b5d5aae2c6?w=800
Beirut,Lebanon,"Paris of Middle East",CULTURAL,SPRING,MODERATE,"Nightlife, History",4.3,https://images.unsplash.com/photo-1581559179623-b6b5d5aae2c6?w=800
Dubai,UAE,"Future city",CULTURAL,WINTER,LUXURY,"Burj Khalifa, Malls",4.5,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800
Abu Dhabi,UAE,"Grand Mosque",CULTURAL,WINTER,LUXURY,"Louvre, Desert",4.4,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800
Muscat,Oman,"Arabian charm",CULTURAL,WINTER,MODERATE,"Grand Mosque, Souk",4.3,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800
Doha,Qatar,"Modern Arab city",CULTURAL,WINTER,LUXURY,"Museum of Islam",4.2,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800
Baku,Azerbaijan,"Flame towers",CULTURAL,SPRING,MODERATE,"Old City, Fire",4.1,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800
Tbilisi,Georgia,"Bridge of Peace",CULTURAL,SPRING,CHEAP,"Old Town, Wine",4.3,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800
Yerevan,Armenia,"Pink city",CULTURAL,SPRING,CHEAP,"Mount Ararat, Brandy",4.2,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800
Kathmandu,Nepal,"Himalayan gateway",CULTURAL,SPRING,CHEAP,"Temples, Trekking",4.4,https://images.unsplash.com/photo-1540959733332-eab4deabeeaf?w=800
Colombo,Sri Lanka,"Indian Ocean port",CULTURAL,WINTER,MODERATE,"Beaches, Food",4.1,https://images.unsplash.com/photo-1540959733332-eab4deabeeaf?w=800
Male,Maldives,"Overwater paradise",BEACH,WINTER,LUXURY,"Resorts, Diving",4.8,https://images.unsplash.com/photo-1510070112810-d4e9a46d44e1?w=800
Phuket,Thailand,"Andaman beaches",BEACH,WINTER,MODERATE,"Islands, Nightlife",4.5,https://images.unsplash.com/photo-1552465011-b4e21bf6e79a?w=800
Bali,Indonesia,"Island of gods",BEACH,SUMMER,MODERATE,"Temples, Rice Terraces",4.8,https://images.unsplash.com/photo-1510070112810-d4e9a46d44e1?w=800
Boracay,Philippines,"White sand beach",BEACH,WINTER,MODERATE,"Beaches, Watersports",4.6,https://images.unsplash.com/photo-1510070112810-d4e9a46d44e1?w=800
Hoi An,Vietnam,"Lantern town",CULTURAL,FALL,MODERATE,"Tailors, Food",4.6,https://images.unsplash.com/photo-1583417319070-4a69db7c5e8a?w=800
Siem Reap,Cambodia,"Angkor gateway",HISTORICAL,WINTER,MODERATE,"Temples, Culture",4.7,https://images.unsplash.com/photo-1583417319070-4a69db7c5e8a?w=800
Yangon,Myanmar,"Golden pagodas",HISTORICAL,WINTER,MODERATE,"Shwedagon, History",4.3,https://images.unsplash.com/photo-1583417319070-4a69db7c5e8a?w=800
Vientiane,Laos,"Mekong capital",CULTURAL,WINTER,CHEAP,"Buddhas, Food",4.1,https://images.unsplash.com/photo-1583417319070-4a69db7c5e8a?w=800
Ulaanbaatar,Mongolia,"Nomadic capital",CULTURAL,SUMMER,CHEAP,"Gobi, Culture",4.0,https://images.unsplash.com/photo-1540959733332-eab4deabeeaf?w=800
